date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,implied_V,implied_sigma_V,cca_converged
2018-12-23,South Africa,217.3,0.0314,200.50231499999998,102.14833079453723,0.18506700611808494,273.50666067494933,0.0691853002642461,True
2018-12-30,South Africa,220.97,0.0314,200.50231499999998,103.61357323096838,0.18331716795466418,274.97333524119136,0.0691355291823474,True
2019-01-06,South Africa,215.89,0.0298,198.211692,114.00000156438848,0.20413337753334942,284.7416246502547,0.0818884187635852,True
2019-01-13,South Africa,206.05,0.0298,198.211692,115.05054605905737,0.20433145109111037,285.79212586947204,0.08241780937690231,True
2019-01-20,South Africa,196.1,0.0298,198.211692,114.98687671999103,0.20380901975767088,285.7292821563871,0.0821762545489792,True
2019-01-27,South Africa,186.31,0.0298,198.211692,116.88104040644431,0.2026136739779049,287.62577924567444,0.08247997008780912,True
2019-02-03,South Africa,174.33,0.0269,195.710326,119.49530294804897,0.20056141187481236,290.55117114711396,0.08261237975050241,True
2019-02-10,South Africa,182.55,0.0269,195.710326,116.83666776963808,0.20177947300153387,287.8902017271428,0.08202911838279595,True
2019-02-17,South Africa,187.73,0.0269,195.710326,113.15915440254523,0.20117135506770314,284.2126960438794,0.08023724435271302,True
2019-02-24,South Africa,182.85,0.0269,195.710326,113.73227337544634,0.20105541032689878,284.78611862367916,0.08043280961834778,True
2019-03-03,South Africa,178.53,0.027,195.79658,111.38555584883339,0.19546414145148283,282.4359847943396,0.07719340694900223,True
2019-03-10,South Africa,186.07,0.027,195.79658,109.76897552675563,0.19576264818368155,280.8187471781002,0.07663261008055715,True
2019-03-17,South Africa,174.95,0.027,195.79658,109.95916144733184,0.19541840776381403,281.0093728755712,0.07657624395256428,True
2019-03-24,South Africa,197.09,0.027,195.79658,109.34105715162609,0.1943270595123343,280.3923942855437,0.0758827373780223,True
2019-03-31,South Africa,196.79,0.0276,196.31410400000001,110.37994433657859,0.19464008869047006,281.36950808289896,0.0764602934407646,True
2019-04-07,South Africa,179.65,0.0276,196.31410400000001,111.92129060249462,0.1922469135101876,282.913644323285,0.07614281655652934,True
2019-04-14,South Africa,180.71,0.0276,196.31410400000001,113.02551761256902,0.19249666871042095,284.01780480001315,0.07669399861032748,True
2019-04-21,South Africa,178.46,0.0276,196.31410400000001,112.23678405907494,0.19260324230839065,283.22883410634745,0.07641496569506766,True
2019-04-28,South Africa,185.01,0.0276,196.31410400000001,109.69706197971502,0.19304448063975943,280.688230478934,0.07554068782167406,True
2019-05-05,South Africa,187.24,0.0249,193.98524600000002,110.04222443549904,0.1921342940594359,281.3023636216493,0.075251909709897,True
2019-05-12,South Africa,183.36,0.0249,193.98524600000002,111.54251306427416,0.19156394867713822,282.80345659176703,0.07564283153568133,True
2019-05-19,South Africa,192.46,0.0249,193.98524600000002,109.37893893778174,0.188152561371189,280.6426258770597,0.07340477441837691,True
2019-05-26,South Africa,194.23,0.0249,193.98524600000002,109.67899666195991,0.18692944294033179,280.94371125321055,0.0730442814742206,True
