date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,implied_V_M0,implied_sigma_V_M0,cca_converged_M0,implied_V_M1,implied_sigma_V_M1,cca_converged_M1,convenience_yield,implied_V_M2,implied_sigma_V_M2,cca_converged_M2,lambda_annual,group,exporter,DD_M0,DD_M1,DD_M2
2016-08-07,Colombia,179.12,0.0146,131.804101,134.4833856876686,0.1909707227656045,257.0038302128037,0.0999606121536613,True,252.473668663424,0.0999606121537464,True,-0.0701246500683331,257.0032433249572,0.1008198985482764,True,6.754195121938656,Exporter,1.0,2.9875539727902862,2.9079900451076646,2.962080968289245
2016-08-14,Colombia,172.24,0.0146,131.804101,139.46879226968716,0.1929399480206541,261.9889423945576,0.1027426572581511,True,258.2538566162075,0.1027426572582382,True,-0.056422740242511,261.98839378066344,0.1035273826914572,True,6.336639863262948,Exporter,1.0,2.9902797061199906,2.9277773823409667,2.9676046904984386
2016-08-21,Colombia,163.58,0.0146,131.804101,142.9830952558033,0.1895131353411023,265.5045777588372,0.1020827366918812,True,262.025791436149,0.1020827366919128,True,-0.0517453661583778,265.50417766191543,0.102831552606194,True,6.012341960187532,Exporter,1.0,3.0680069310667477,3.0102267002801844,3.0456592539459013
2016-08-28,Colombia,167.47,0.0146,131.804101,140.85816787010825,0.1903589584821508,263.3792684457234,0.1018321315922674,True,261.02530767219224,0.1018321315923085,True,-0.0349872945424503,263.3788201038873,0.1025992416569906,True,6.142932201844895,Exporter,1.0,3.0402612759326613,3.0008340860512406,3.0175225474189795
2016-09-04,Colombia,165.53,0.0151,132.1111935,138.67035853503992,0.1913222182707903,261.169834308965,0.1016131410048377,True,257.32689937119443,0.1016131410048898,True,-0.0584819608849525,261.16931294759365,0.1024183361571764,True,6.43311583386347,Exporter,1.0,2.9994951312187,2.9342542112012087,2.975904905262384
2016-09-11,Colombia,160.67,0.0151,132.1111935,139.44391601545746,0.189801448842043,261.94392136906174,0.1010651271067413,True,258.0571248255316,0.1010651271067762,True,-0.0589932838757018,261.9434385587611,0.1018895654963125,True,6.554359629652929,Exporter,1.0,3.0288555141255893,2.9627040675589527,3.0043394702410513
2016-09-18,Colombia,174.36,0.0151,132.1111935,137.6932332622484,0.1896613056127218,260.19316308495416,0.1003943843329514,True,256.71872897918126,0.1003943843329903,True,-0.0529702639909691,260.19266507683903,0.1012263448861837,True,6.570079725256821,Exporter,1.0,3.0192185351140535,2.959334691294675,2.9943956820265445
2016-09-25,Colombia,173.1,0.0151,132.1111935,139.44391601545746,0.1871306021417946,261.9446537333316,0.099638615827228,True,257.174384531826,0.0996386158272475,True,-0.0727022034444476,261.94420683735115,0.1005337317574513,True,7.021960531675617,Exporter,1.0,3.0722317380291986,2.989740947786819,3.0448701102409768
2016-10-02,Colombia,166.85,0.0157,132.4797045,139.70538057846505,0.18536453201347,262.1802828514798,0.0987919528129128,True,256.65209124859587,0.0987919528129251,True,-0.0844413289273691,262.1799134732384,0.0996286582717153,True,6.508324930139606,Exporter,1.0,3.090021937681344,2.9935511379237516,3.064064865341685
2016-10-09,Colombia,176.05,0.0157,132.4797045,137.65088969322142,0.1792411460104497,260.1268536063196,0.0948608324436472,True,257.3824043323754,0.0948608324454691,True,-0.0416040272366385,260.12660045175846,0.0956907813560601,True,6.20444825849329,Exporter,1.0,3.1810060219417755,3.1310026584182284,3.1534118516589302
