date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,convenience_yield,implied_V,implied_sigma_V,cca_converged
2017-07-16,China,66.53999,0.0220999999999999,1570.1403919999993,4434.548987678783,0.11295828919395252,-0.0171993635131474,5760.507825714366,0.08576747968934008,True
2017-07-23,China,66.40999,0.0220999999999999,1570.1403919999993,4440.558675743018,0.11295840335914933,-0.01935462773323578,5757.127866641861,0.08579551644586533,True
2017-07-30,China,64.17999,0.0220999999999999,1570.1403919999993,4460.09016311746,0.110068384176969,0.002667259444235289,5872.486434527227,0.08368858281471091,True
2017-08-06,China,63.73999,0.0235,1580.03772,4439.448823755537,0.11014976933340255,-0.0070134275484690575,5808.566148620612,0.08367165011512984,True
2017-08-13,China,70.35999,0.0235,1580.03772,4482.1674281248925,0.11045388486413713,0.03416625064284229,6034.056534746887,0.08409532716932158,True
2017-08-20,China,66.40999,0.0235,1580.03772,4477.985187266742,0.1104019811320248,0.03259009256993922,6022.645594364437,0.08403707966083926,True
2017-08-27,China,61.18999,0.0235,1580.03772,4492.324299136984,0.11033629384023866,0.030212078128592793,6026.643477420448,0.08405114746535206,True
2017-09-03,China,56.57999,0.0226,1573.675152,4584.430802115232,0.11182533761279716,0.010118748714682047,6029.935365870487,0.08558580342360424,True
2017-09-10,China,60.81,0.0226,1573.675152,4639.157707965875,0.11225533001531218,0.015725843808678062,6110.6658666461035,0.0861533780971843,True
2017-09-17,China,56.2,0.0226,1573.675152,4588.941261355995,0.11299967594777931,0.021872330329906934,6087.900709562222,0.08650453714798442,True
2017-09-24,China,60.37,0.0226,1573.675152,4562.179202833776,0.11325852273517774,0.05755704164774944,6224.880372493897,0.08658360283936466,True
2017-10-01,China,62.79999,0.0216,1566.605632,4575.671629209432,0.11062958888849116,0.039334811544598156,6154.908437455819,0.0846227226623562,True
2017-10-08,China,58.98,0.0216,1566.605632,4678.574147948718,0.11257510029521993,0.04415461197359377,6284.05761360913,0.0865584290760823,True
2017-10-15,China,57.62,0.0216,1566.605632,4731.18087034181,0.11245941509286404,0.05536441713157296,6391.980179492627,0.08669225169429895,True
2017-10-22,China,55.10999,0.0216,1566.605632,4701.920326417741,0.11250334111830632,0.0542048795191452,6356.146781913291,0.08660262968855668,True
2017-10-29,China,47.03,0.0216,1566.605632,4679.819277583684,0.11264591236219028,0.054566321963015786,6334.864328613016,0.08661820215392099,True
2017-11-05,China,53.85999,0.0233999999999999,1579.3307679999994,4637.790751624882,0.11307456513434742,0.07225290139458496,6374.136945206376,0.08678450022121321,True
2017-11-12,China,61.67999,0.0233999999999999,1579.3307679999994,4635.943394057166,0.11262103722560353,0.06109794368440669,6319.054842033098,0.0864284109834346,True
2017-11-19,China,60.7,0.0233999999999999,1579.3307679999994,4646.103860233084,0.11181324157462065,0.060042561547982036,6324.914716597627,0.08585215208661223,True
2017-11-26,China,59.56,0.0233999999999999,1579.3307679999994,4663.653755549214,0.11159752055716735,0.06416936155621758,6362.927058610525,0.08576145020210824,True
2017-12-03,China,57.34999,0.0237,1581.451624,4652.367588465165,0.11167449558174855,0.07255373898111306,6391.784187876945,0.08577557645946321,True
2017-12-10,China,56.59,0.0237,1581.451624,4649.596855705167,0.11157822645461637,0.07474852630408642,6399.439064978655,0.08568979122511763,True
2017-12-17,China,53.23999,0.0237,1581.451624,4657.909053160162,0.1111005979508923,0.07546488128617489,6411.709187456323,0.08535832480739428,True
2017-12-24,China,51.64999,0.0237,1581.451624,4680.690630676677,0.11111923933888826,0.07101997751423642,6414.388258643094,0.0854690327606513,True
2017-12-31,China,50.78999,0.0237,1581.451624,4764.952024480073,0.1103508831577256,0.07973750075220946,6545.915181393389,0.08522593127835629,True
2018-01-07,China,48.06,0.0237,1913.55217,4879.881563607684,0.10964138137661081,0.07945986688446235,6979.393794939025,0.08131757831961287,True
2018-01-14,China,46.87,0.0237,1913.55217,4901.09706298876,0.10964496375237676,0.0830942913442939,7021.060171217577,0.0814112730166034,True
2018-01-21,China,50.51999,0.0237,1913.55217,4944.478010150605,0.10977919235792925,0.08728892176834158,7089.480533761373,0.0816955053219474,True
2018-01-28,China,51.70999,0.0237,1913.55217,5010.024404071027,0.11011279288760832,0.07829676755777376,7111.319771955089,0.08221894302556614,True
2018-02-04,China,54.79999,0.024,1916.1183999999998,5087.540968840525,0.08744116274505673,0.09828782018262261,7301.715723335025,0.06554610959538197,True
2018-02-11,China,67.96999,0.024,1916.1183999999998,5091.388122978759,0.08736925406613544,0.08634683181719799,7240.660321324216,0.06550460049594024,True
2018-02-18,China,59.56,0.024,1916.1183999999998,5050.351810201191,0.08803452295448713,0.0853573864176767,7191.591081585874,0.06586944071242196,True
2018-02-25,China,58.21999,0.024,1916.1183999999998,5059.007907238001,0.08798740151210176,0.08334202026665236,7189.935610287163,0.06586255679231134,True
2018-03-04,China,56.42999,0.0278,1948.6239799999998,5064.665864581167,0.06248948837321002,0.08280799099094086,7189.143128938048,0.046814946872808856,True
2018-03-11,China,55.98,0.0278,1948.6239799999998,5074.950102621164,0.06226160853152768,0.07417323526210066,7153.607812755824,0.04666794899875643,True
2018-03-18,China,56.98,0.0278,1948.6239799999998,5073.021808032684,0.062335406530566705,0.08792527425545266,7225.652055002881,0.04671881639999203,True
2018-03-25,China,68.37999,0.0278,1948.6239799999998,5088.448165231542,0.06233250161230864,0.09764903592281182,7295.1540772271965,0.04675214762931022,True
2018-04-01,China,64.92,0.0281,1951.19021,4962.436629787852,0.06823206178714035,0.12919004653437388,7330.343132981525,0.050856682714111055,True
2018-04-08,China,63.34,0.0281,1951.19021,4946.81167979536,0.06833464581550727,0.09509773397121717,7127.992545448123,0.05089220901109651,True
2018-04-15,China,61.14,0.0281,1951.19021,4970.516452037816,0.06835025497048534,0.10290800718405967,7195.474219380177,0.05096587509332072,True
2018-04-22,China,58.78999,0.0281,1951.19021,4953.673587944504,0.06858527869422786,0.10038357027938637,7163.816410996443,0.051096934468883345,True
2018-04-29,China,58.78999,0.0281,1951.19021,4924.978337462957,0.06909589057286875,0.1036650551676589,7150.502143480147,0.051400981937615775,True
2018-05-06,China,60.73999,0.0273,1944.34693,4894.339819307878,0.06956704636411788,0.07495429303923784,6966.672039422794,0.05166217734743028,True
2018-05-13,China,59.75,0.0273,1944.34693,4916.449517320394,0.06955298186825375,0.09222345730707707,7081.882345308199,0.05171158581380168,True
2018-05-20,China,58.23,0.0273,1944.34693,4880.949438764534,0.07027434563869124,0.07770027652782625,6967.4749600044415,0.052150612260226784,True
2018-05-27,China,55.78,0.0273,1944.34693,4871.918717213661,0.07039382241626631,0.08895550756942018,7017.1516657096245,0.05221431496112492,True
2018-06-03,China,56.75,0.0297,1964.8767699999999,4764.448568959122,0.07453572084606523,0.0729287345508203,6817.076827075964,0.054987942221474365,True
2018-06-10,China,56.75,0.0297,1964.8767699999999,4774.849290893116,0.07453602178562706,0.07867299623868612,6857.535318565949,0.05501959494432374,True
2018-06-17,China,56.25,0.0297,1964.8767699999999,4750.682906819134,0.07477462335644126,0.07191650039398814,6797.415134233145,0.05512230089824078,True
2018-06-24,China,58.17,0.0297,1964.8767699999999,4702.044234629415,0.07555609803537813,0.07017469254890644,6737.458764505014,0.05554737348192364,True
2018-07-01,China,69.78999,0.0289,1958.0334899999998,4630.369606117895,0.07022817102890402,0.09466259007794091,6786.195935776022,0.05141256611387271,True
2018-07-08,China,74.46999,0.0289,1958.0334899999998,4676.4632401152485,0.0706491631753948,0.07421350030655179,6731.420907971199,0.051857709786252586,True
