date,Copper_cash,Copper_12m,Nickel_cash,Nickel_12m,CokingCoal_12m,CokingCoal_cash,IronOre_cash,IronOre_12m,ThermalCoal_cash,ThermalCoal_12m,Platinum_cash,Platinum_12m,NatGas_cash,NatGas_12m
26.04.2019,6396.75,6430,12372.5,12666,1295.5,1199.5,696,552.5,581.4,574.8,898.9,,2.58,2.551
03.05.2019,6227.75,6264.25,12174,12402,1293,1208,712.5,570,576.4,574.8,873.4,,2.567,2.53
10.05.2019,6115,6160.5,11921,12132,1325,1324.5,720,561.5,577.8,574.8,864.5,,2.619,2.553
17.05.2019,6046,6096,12024,12203,1348.5,1343,766.5,598,575.8,575,820,,2.631,2.583
24.05.2019,5944,6003,12356,12549,1311,1368,809,626,586.4,570.8,801.9,,2.598,2.535
31.05.2019,5820,5877.75,11979.5,12215,1304,1286,836,628.5,586.4,564.6,792.6,,2.454,2.522
07.06.2019,5791.5,5836.5,11570,11827,1299,1403,771.5,591.5,552,563.2,806.1,,2.337,2.509
14.06.2019,5813,5844.5,11810,12061,1305.5,1425.5,861.5,650,552,565.8,804.7,,2.387,2.523
21.06.2019,5967.5,6003.25,12033.5,12321,1301.5,1421,914,631.5,556,565.8,811,,2.186,2.413
28.06.2019,5992,6020.5,12640,12897,1294.5,1441,945,642.5,546,565.8,835.5,,2.308,2.471
05.07.2019,5896.25,5940,12456,12692,1319,1424,892.5,664,553.4,565.8,806.6,,2.418,2.48
12.07.2019,5925.5,5969,13447,13654.5,1309.5,1424,918.5,667,547.4,573,829.7,,2.453,2.528
19.07.2019,6060.25,6107.25,14712,14932,1371.5,1430,945.5,668,548.8,572.8,847.4,,2.251,2.429
26.07.2019,5954,6006,14090,14300,1371.5,1466.5,956,630.5,550.8,572.4,862.9,,2.169,2.41
02.08.2019,5720.5,5765.25,14492,14636,1325,1389,871,617.5,550,568.4,851.1,,2.121,2.388
09.08.2019,5745.5,5787,15551,15706,1307,1411.5,746.5,579,553.2,567.6,862.1,,2.119,2.354
16.08.2019,5734.25,5779,16220,16185,1312.5,1399.5,731,555,553.2,567.6,849.3,,2.2,2.326
23.08.2019,5626,5675.75,15725,15636,1312.5,1403.5,702.5,539,548.8,567.6,853,,2.152,2.327
30.08.2019,5668.25,5711.75,18005,17735,1286,1419.5,719.5,533.5,543.8,567.6,929.6,,2.285,2.329
06.09.2019,5827.25,5870,17730,17628,1286,1373,732,551.5,559.8,567.6,958.5,,2.496,2.405
13.09.2019,5965.75,6006.25,17810,17695,1286,1387,776,560.5,572,562.8,952.2,,2.614,2.419
20.09.2019,5786,5838.25,17640,17224,1201,1387,778,512.5,563.6,562,942.6,,2.534,2.4
27.09.2019,5748.75,5800.25,17328.5,17131.5,1161.5,1299.5,782.5,519.5,562.8,559.6,931,,2.404,2.388
04.10.2019,5630,5679,17855,17640,1159,1299.5,792.5,527,530.8,558.4,884,,2.352,2.401
11.10.2019,5781.5,5839,17625.5,17398,1161,1285,752,526,542,555,897.7,,2.214,2.341
18.10.2019,5794.75,5851.5,16288,16170,1153,1277.5,702,520,540.2,552.8,894,,2.32,2.372
25.10.2019,5913.5,5977.5,16793,16744,1158,1296,708.5,517.5,530,552.8,929.3,,2.3,2.335
01.11.2019,5841.75,5896.75,16818,16717,1158,1273.5,653,523.5,519.4,551.2,951.9,,2.714,2.506
08.11.2019,5918.25,5969.25,16200,16167,1147.5,1265,641,516.5,505.8,551.8,890.9,,2.789,2.554
15.11.2019,5836.75,5895.5,14976,14979,1147.5,1285.5,648.5,527.5,479.8,552.6,892.7,,2.688,2.523
22.11.2019,5850.5,5897.25,14607,14710,1147.5,1316,662.5,538,478.6,547.2,890.2,,2.665,2.5
29.11.2019,5853.25,5903,13628,13780,1147.5,1319,663,542,471.4,540.8,897.9,,2.281,2.562
06.12.2019,5978.5,6024.75,13448,13581,1147.5,1234.5,652.5,555,471.4,544.8,898.9,,2.334,2.573
13.12.2019,6115.5,6159.25,14137,14296,1156,1230.5,684.5,588.5,526.4,544.8,928.8,,2.296,2.554
20.12.2019,6164,6203,14489,14669,1160.5,1238,677,576.5,553.6,544.8,913.8,,2.328,2.578
27.12.2019,6200.5,6244,14156.5,14379,1157,1204,679.5,570,557.2,544.8,950.4,,2.231,2.583
03.01.2020,6120.25,6166.5,13726,13928,1191,1242,699,582,563.2,544.8,987,,2.13,2.718
10.01.2020,6185.5,6239,14151.5,14372.5,1217,1245,699.5,582.5,569.6,540.2,981.7,,2.202,2.715
17.01.2020,6263.25,6316,13867,14107,1177,1245,713.5,583.5,576.4,547.6,1020.1,,2.003,2.656
24.01.2020,5914.25,5970.75,12892,13149,1168,1273,709.5,582.5,587.8,542.2,1005.8,,1.893,2.571
31.01.2020,5556.75,5612.5,12786.5,13052,1168,1273,709.5,582.5,547,542.2,959.2,,1.841,2.52
07.02.2020,5656,5713,12724,12974,1168,1233,622.5,558,565.6,552.6,968,,1.858,2.541
14.02.2020,5751.75,5804.5,12961,13218,1182,1246.5,662.5,576.5,555.8,552.6,966.7,,1.837,2.541
21.02.2020,5757.75,5815.25,12470,12755,1182,1246.5,702,612.5,571.6,549,974,,1.905,2.527
28.02.2020,5629,5688,12201,12472,1182,1292,677.5,571.5,565.6,549,862.8,,1.684,2.338
06.03.2020,5597.5,5659,12818.5,13016.5,1182,1309.5,695,593.5,556.6,544.8,896.4,,1.708,2.341
13.03.2020,5448.25,5508,12286,12467,1185.5,1309.5,706.5,579,570.4,544.8,743.9,,1.869,2.492
20.03.2020,4802.25,4870.5,11180,11411,1159.5,1250.5,734.5,548,586.4,531,622.5,,1.604,2.501
27.03.2020,4784.5,4842.5,11312,11543.5,1138,1261.5,693,549.5,591,513.4,740.3,,1.671,2.565
03.04.2020,4833,4884,11208.5,11420,1091.5,1214,645.5,524,598.8,497.8,717.5,,1.621,2.401
10.04.2020,5008,5064,11629.5,11853.25,1090.5,1238.5,670,540,595.4,494.8,747.9,,1.733,2.47
17.04.2020,5200.5,5255,12000,12234,1105,1257,688.5,555,595.4,494.8,783.1,,1.753,2.499
24.04.2020,5125.99,5192.5,12195,12441,1077,1215.5,674.5,548.5,607.8,494.8,771,,1.746,2.562
