Date,SPX,DXY,UST2Y,UST5Y,UST10Y
09.09.2019,2978.43,98.28,1.575,1.477,1.622
10.09.2019,2979.39,98.33,1.664,1.565,1.702
11.09.2019,3000.93,98.65,1.67,1.592,1.733
12.09.2019,3009.57,98.31,1.727,1.651,1.791
13.09.2019,3007.39,98.26,1.802,1.751,1.899
16.09.2019,2997.96,98.61,1.765,1.702,1.843
17.09.2019,3005.7,98.26,1.737,1.666,1.814
18.09.2019,3006.73,98.56,1.746,1.658,1.784
19.09.2019,3006.79,98.27,1.74,1.648,1.774
20.09.2019,2992.07,98.51,1.712,1.634,1.753
23.09.2019,2991.78,98.6,1.669,1.582,1.708
24.09.2019,2966.6,98.34,1.609,1.511,1.635
25.09.2019,2984.87,99.04,1.683,1.606,1.732
26.09.2019,2977.62,99.13,1.654,1.573,1.685
27.09.2019,2961.79,99.11,1.624,1.549,1.673
30.09.2019,2976.74,99.38,1.622,1.551,1.673
01.10.2019,2940.25,99.13,1.556,1.498,1.644
02.10.2019,2887.61,99.02,1.484,1.43,1.597
03.10.2019,2910.63,98.86,1.386,1.342,1.536
04.10.2019,2952.01,98.81,1.398,1.329,1.514
07.10.2019,2938.79,98.97,1.464,1.384,1.553
08.10.2019,2893.06,99.13,1.425,1.358,1.539
09.10.2019,2919.4,99.12,1.474,1.409,1.587
10.10.2019,2938.13,98.7,1.53,1.477,1.656
11.10.2019,2970.27,98.3,1.614,1.577,1.753
14.10.2019,2966.15,98.45,1.614,1.577,1.753
15.10.2019,2995.68,98.29,1.622,1.597,1.769
16.10.2019,2989.69,98,1.585,1.566,1.745
17.10.2019,2997.95,97.61,1.6,1.577,1.755
18.10.2019,2986.2,97.28,1.576,1.559,1.75
21.10.2019,3006.72,97.33,1.615,1.604,1.792
22.10.2019,2995.99,97.53,1.607,1.592,1.766
23.10.2019,3004.52,97.49,1.582,1.586,1.759
24.10.2019,3010.29,97.63,1.582,1.585,1.766
25.10.2019,3022.55,97.83,1.626,1.627,1.801
28.10.2019,3039.42,97.76,1.65,1.67,1.853
29.10.2019,3036.89,97.69,1.642,1.659,1.835
30.10.2019,3046.77,97.65,1.63,1.637,1.796
31.10.2019,3037.56,97.35,1.526,1.52,1.691
01.11.2019,3066.91,97.24,1.562,1.554,1.728
04.11.2019,3078.27,97.51,1.594,1.603,1.788
05.11.2019,3074.62,97.98,1.633,1.671,1.865
06.11.2019,3076.78,97.95,1.607,1.626,1.812
07.11.2019,3085.18,98.14,1.677,1.739,1.922
08.11.2019,3093.08,98.35,1.666,1.734,1.933
11.11.2019,3087.01,98.2,1.666,1.734,1.933
12.11.2019,3091.84,98.31,1.65,1.718,1.909
13.11.2019,3094.04,98.37,1.628,1.676,1.869
14.11.2019,3096.63,98.16,1.593,1.625,1.815
15.11.2019,3120.46,98,1.612,1.652,1.834
18.11.2019,3122.03,97.79,1.592,1.625,1.808
19.11.2019,3120.18,97.86,1.596,1.62,1.786
20.11.2019,3108.46,97.93,1.572,1.584,1.738
21.11.2019,3103.54,97.99,1.605,1.616,1.772
22.11.2019,3110.29,98.27,1.63,1.629,1.774
25.11.2019,3133.64,98.32,1.618,1.616,1.764
26.11.2019,3140.52,98.25,1.586,1.596,1.74
27.11.2019,3153.63,98.37,1.626,1.624,1.767
28.11.2019,3153.63,98.37,1.626,1.624,1.767
29.11.2019,3140.98,98.27,1.602,1.618,1.776
02.12.2019,3113.87,97.86,1.614,1.659,1.836
03.12.2019,3093.2,97.74,1.532,1.534,1.709
04.12.2019,3112.76,97.65,1.584,1.606,1.781
05.12.2019,3117.43,97.41,1.582,1.62,1.795
06.12.2019,3145.91,97.7,1.621,1.669,1.843
09.12.2019,3135.96,97.64,1.627,1.668,1.831
10.12.2019,3132.52,97.41,1.652,1.679,1.831
11.12.2019,3141.63,97.08,1.615,1.638,1.79
12.12.2019,3168.57,97.4,1.67,1.736,1.899
13.12.2019,3168.8,97.17,1.604,1.653,1.821
16.12.2019,3191.45,97.02,1.645,1.72,1.889
17.12.2019,3192.52,97.22,1.633,1.711,1.889
18.12.2019,3191.14,97.4,1.633,1.738,1.924
19.12.2019,3205.37,97.38,1.621,1.72,1.908
20.12.2019,3221.22,97.69,1.629,1.729,1.917
23.12.2019,3224.01,97.66,1.654,1.754,1.935
24.12.2019,3223.38,97.65,1.639,1.724,1.908
25.12.2019,3223.38,97.65,1.639,1.724,1.908
26.12.2019,3239.91,97.53,1.637,1.725,1.905
27.12.2019,3240.02,96.92,1.589,1.678,1.873
30.12.2019,3221.29,96.74,1.573,1.681,1.895
31.12.2019,3230.78,96.39,1.561,1.683,1.91
01.01.2020,3230.78,96.39,1.561,1.683,1.91
02.01.2020,3257.85,96.85,1.575,1.67,1.882
03.01.2020,3234.85,96.84,1.525,1.588,1.788
06.01.2020,3246.28,96.67,1.547,1.611,1.811
07.01.2020,3237.18,97.01,1.546,1.619,1.825
08.01.2020,3253.05,97.3,1.583,1.665,1.874
09.01.2020,3274.7,97.45,1.576,1.655,1.858
10.01.2020,3265.35,97.36,1.572,1.636,1.827
13.01.2020,3288.13,97.35,1.586,1.651,1.848
14.01.2020,3283.15,97.37,1.578,1.626,1.818
15.01.2020,3289.29,97.23,1.562,1.603,1.788
16.01.2020,3316.81,97.32,1.568,1.625,1.809
17.01.2020,3329.62,97.64,1.569,1.631,1.835
20.01.2020,3329.62,97.61,1.569,1.631,1.835
21.01.2020,3320.79,97.53,1.532,1.573,1.769
22.01.2020,3321.75,97.53,1.526,1.575,1.771
23.01.2020,3325.54,97.69,1.518,1.555,1.739
24.01.2020,3295.47,97.85,1.486,1.501,1.68
27.01.2020,3243.63,97.96,1.443,1.435,1.605
28.01.2020,3276.24,98.02,1.457,1.466,1.641
29.01.2020,3273.4,97.99,1.419,1.416,1.594
30.01.2020,3283.66,97.87,1.391,1.377,1.555
31.01.2020,3225.52,97.39,1.329,1.325,1.519
03.02.2020,3248.92,97.8,1.353,1.343,1.52
04.02.2020,3297.59,97.96,1.415,1.422,1.601
05.02.2020,3334.69,98.3,1.441,1.46,1.649
06.02.2020,3345.78,98.5,1.447,1.46,1.644
07.02.2020,3327.71,98.68,1.399,1.401,1.577
10.02.2020,3352.09,98.83,1.377,1.367,1.547
11.02.2020,3357.75,98.72,1.417,1.409,1.59
12.02.2020,3379.45,99.05,1.442,1.445,1.63
13.02.2020,3373.94,99.07,1.442,1.44,1.617
14.02.2020,3380.16,99.12,1.424,1.414,1.588
17.02.2020,3380.16,99,1.424,1.414,1.588
18.02.2020,3370.29,99.44,1.41,1.393,1.556
19.02.2020,3386.15,99.71,1.426,1.409,1.57
20.02.2020,3373.23,99.87,1.395,1.37,1.525
21.02.2020,3337.75,99.26,1.35,1.316,1.47
24.02.2020,3225.89,99.36,1.266,1.218,1.377
25.02.2020,3128.21,98.97,1.204,1.157,1.33
26.02.2020,3116.39,99,1.145,1.133,1.31
27.02.2020,2978.76,98.51,1.103,1.107,1.299
28.02.2020,2954.22,98.13,0.878,0.912,1.126
02.03.2020,3090.23,97.36,0.826,0.864,1.088
03.03.2020,3003.37,97.15,0.729,0.773,1.017
04.03.2020,3130.12,97.34,0.639,0.729,0.992
05.03.2020,3023.94,96.82,0.585,0.673,0.925
06.03.2020,2972.37,95.95,0.477,0.554,0.707
09.03.2020,2746.56,94.9,0.347,0.426,0.498
10.03.2020,2882.23,96.41,0.487,0.615,0.752
11.03.2020,2741.38,96.51,0.496,0.664,0.822
12.03.2020,2480.64,97.47,0.489,0.652,0.852
13.03.2020,2711.02,98.75,0.492,0.715,0.954
16.03.2020,2386.13,98.07,0.36,0.492,0.728
17.03.2020,2529.19,99.58,0.461,0.65,0.996
18.03.2020,2398.1,101.16,0.53,0.815,1.258
19.03.2020,2409.39,102.76,0.421,0.654,1.129
20.03.2020,2304.92,102.82,0.366,0.52,0.938
23.03.2020,2237.4,102.49,0.294,0.397,0.767
24.03.2020,2447.33,102.04,0.39,0.499,0.818
25.03.2020,2475.56,101.05,0.326,0.517,0.856
26.03.2020,2630.07,99.35,0.273,0.478,0.808
27.03.2020,2541.47,98.37,0.261,0.424,0.744
30.03.2020,2626.65,99.18,0.228,0.378,0.671
31.03.2020,2584.59,99.05,0.228,0.378,0.699
01.04.2020,2470.5,99.67,0.234,0.369,0.635
02.04.2020,2526.9,100.18,0.22,0.388,0.627
03.04.2020,2488.65,100.58,0.213,0.367,0.589
06.04.2020,2663.68,100.69,0.268,0.446,0.678
07.04.2020,2659.41,99.9,0.282,0.483,0.734
08.04.2020,2749.98,100.12,0.256,0.468,0.764
09.04.2020,2789.82,99.52,0.225,0.411,0.722
10.04.2020,2789.82,99.52,0.225,0.411,0.722
13.04.2020,2761.63,99.35,0.243,0.43,0.749
14.04.2020,2846.06,98.89,0.225,0.417,0.75
15.04.2020,2783.36,99.46,0.205,0.341,0.641
16.04.2020,2799.55,100.03,0.203,0.344,0.611
17.04.2020,2874.56,99.78,0.206,0.364,0.656
20.04.2020,2823.16,99.96,0.202,0.352,0.626
21.04.2020,2736.56,100.26,0.205,0.334,0.571
22.04.2020,2799.31,100.39,0.211,0.364,0.619
23.04.2020,2797.8,100.43,0.219,0.369,0.611
24.04.2020,2836.74,100.38,0.216,0.364,0.596
27.04.2020,2878.48,100.04,0.226,0.399,0.654
28.04.2020,2863.39,99.87,0.209,0.369,0.61
29.04.2020,2939.51,99.57,0.199,0.362,0.627
30.04.2020,2912.43,99.02,0.188,0.345,0.625
01.05.2020,2830.71,99.08,0.202,0.369,0.64
04.05.2020,2842.74,99.48,0.182,0.358,0.637
05.05.2020,2868.44,99.71,0.186,0.369,0.657
06.05.2020,2848.42,100.09,0.182,0.377,0.713
07.05.2020,2881.19,99.89,0.129,0.294,0.631
08.05.2020,2929.8,99.73,0.149,0.324,0.681
11.05.2020,2930.32,100.24,0.181,0.359,0.726
12.05.2020,2870.12,99.93,0.173,0.335,0.679
13.05.2020,2820,100.24,0.161,0.318,0.651
14.05.2020,2852.5,100.47,0.149,0.3,0.619
15.05.2020,2863.7,100.4,0.149,0.308,0.64
18.05.2020,2953.91,99.67,0.183,0.377,0.742
19.05.2020,2922.94,99.37,0.173,0.348,0.711
20.05.2020,2971.61,99.12,0.161,0.33,0.679
21.05.2020,2948.51,99.37,0.167,0.338,0.677
22.05.2020,2955.45,99.86,0.168,0.333,0.659
25.05.2020,2955.45,99.86,0.168,0.333,0.659
26.05.2020,2991.77,98.91,0.178,0.351,0.698
27.05.2020,3036.13,99.06,0.182,0.343,0.677
28.05.2020,3029.73,98.38,0.176,0.346,0.705
29.05.2020,3044.31,98.34,0.156,0.3,0.644
01.06.2020,3055.73,97.83,0.158,0.302,0.662
02.06.2020,3080.82,97.67,0.168,0.319,0.68
03.06.2020,3122.87,97.28,0.2,0.377,0.761
04.06.2020,3112.35,96.68,0.194,0.404,0.82
05.06.2020,3193.93,96.94,0.216,0.477,0.905
08.06.2020,3232.39,96.62,0.23,0.453,0.884
09.06.2020,3207.18,96.32,0.206,0.407,0.829
10.06.2020,3190.14,95.96,0.179,0.337,0.748
11.06.2020,3002.1,96.73,0.179,0.302,0.653
12.06.2020,3041.31,97.32,0.191,0.326,0.699
15.06.2020,3066.59,96.71,0.189,0.326,0.702
16.06.2020,3124.74,96.96,0.203,0.35,0.754
17.06.2020,3113.49,97.16,0.197,0.339,0.733
18.06.2020,3115.34,97.42,0.195,0.326,0.694
19.06.2020,3097.74,97.62,0.188,0.327,0.699
22.06.2020,3117.86,97.04,0.192,0.335,0.704
23.06.2020,3131.29,96.65,0.192,0.325,0.709
24.06.2020,3050.33,97.15,0.188,0.316,0.684
25.06.2020,3083.76,97.43,0.184,0.326,0.674
26.06.2020,3009.05,97.43,0.168,0.297,0.638
29.06.2020,3053.24,97.54,0.16,0.281,0.636
30.06.2020,3100.29,97.39,0.154,0.288,0.653
01.07.2020,3115.86,97.2,0.164,0.313,0.682
02.07.2020,3130.01,97.32,0.155,0.297,0.671
03.07.2020,3130.01,97.17,0.155,0.297,0.671
06.07.2020,3179.72,96.73,0.161,0.307,0.684
07.07.2020,3145.32,96.88,0.165,0.293,0.648
08.07.2020,3169.94,96.43,0.155,0.291,0.653
09.07.2020,3152.05,96.7,0.151,0.274,0.605
10.07.2020,3185.04,96.65,0.155,0.298,0.633
13.07.2020,3155.22,96.46,0.159,0.298,0.64
14.07.2020,3197.52,96.26,0.155,0.282,0.614
15.07.2020,3226.56,96.08,0.155,0.285,0.63
16.07.2020,3215.57,96.35,0.147,0.275,0.612
17.07.2020,3224.73,95.94,0.147,0.282,0.628
20.07.2020,3251.84,95.83,0.149,0.285,0.62
21.07.2020,3257.3,95.12,0.143,0.271,0.607
22.07.2020,3276.02,94.99,0.147,0.269,0.595
23.07.2020,3235.66,94.69,0.149,0.266,0.582
24.07.2020,3215.63,94.44,0.149,0.274,0.589
27.07.2020,3239.41,93.67,0.156,0.285,0.609
28.07.2020,3218.44,93.7,0.143,0.266,0.581
29.07.2020,3258.44,93.45,0.129,0.253,0.581
30.07.2020,3246.22,93.02,0.121,0.23,0.541
31.07.2020,3271.12,93.35,0.111,0.214,0.536
03.08.2020,3294.61,93.54,0.115,0.225,0.563
04.08.2020,3306.51,93.38,0.111,0.195,0.513
05.08.2020,3327.77,92.87,0.117,0.218,0.543
06.08.2020,3349.16,92.79,0.117,0.214,0.536
07.08.2020,3351.28,93.44,0.127,0.229,0.562
10.08.2020,3360.47,93.58,0.131,0.234,0.574
11.08.2020,3333.69,93.63,0.161,0.29,0.658
12.08.2020,3380.35,93.44,0.159,0.296,0.67
13.08.2020,3373.43,93.34,0.165,0.318,0.716
14.08.2020,3372.85,93.1,0.149,0.299,0.709
17.08.2020,3381.99,92.85,0.151,0.285,0.683
18.08.2020,3389.78,92.27,0.145,0.279,0.669
19.08.2020,3374.85,92.89,0.141,0.277,0.675
20.08.2020,3385.51,92.79,0.141,0.268,0.644
21.08.2020,3397.16,93.25,0.147,0.272,0.64
24.08.2020,3431.28,93.3,0.153,0.28,0.646
25.08.2020,3443.62,93.02,0.153,0.292,0.682
26.08.2020,3478.73,93.01,0.154,0.29,0.687
27.08.2020,3484.55,93,0.158,0.31,0.746
28.08.2020,3508.01,92.37,0.135,0.275,0.729
31.08.2020,3500.31,92.14,0.131,0.263,0.693
01.09.2020,3526.65,92.34,0.133,0.255,0.671
02.09.2020,3580.84,92.85,0.137,0.256,0.651
03.09.2020,3455.06,92.74,0.125,0.237,0.622
04.09.2020,3426.96,92.72,0.151,0.305,0.723
07.09.2020,3426.96,92.72,0.151,0.305,0.723
08.09.2020,3331.84,93.45,0.141,0.272,0.684
09.09.2020,3398.96,93.26,0.145,0.278,0.703
10.09.2020,3339.19,93.34,0.141,0.266,0.684
11.09.2020,3340.97,93.33,0.129,0.253,0.667
14.09.2020,3383.54,93.05,0.137,0.261,0.669
15.09.2020,3401.2,93.05,0.139,0.269,0.679
16.09.2020,3385.49,93.21,0.139,0.274,0.687
17.09.2020,3357.01,92.97,0.133,0.271,0.682
18.09.2020,3319.47,92.93,0.139,0.279,0.694
21.09.2020,3281.06,93.66,0.137,0.268,0.671
22.09.2020,3315.57,93.99,0.135,0.26,0.664
23.09.2020,3236.92,94.39,0.139,0.271,0.676
24.09.2020,3246.59,94.35,0.135,0.275,0.664
25.09.2020,3298.46,94.64,0.131,0.267,0.659
28.09.2020,3351.6,94.28,0.131,0.266,0.663
29.09.2020,3335.47,93.89,0.125,0.25,0.645
30.09.2020,3363,93.89,0.125,0.27,0.677
01.10.2020,3380.8,93.71,0.131,0.272,0.677
02.10.2020,3348.44,93.84,0.133,0.285,0.694
05.10.2020,3408.63,93.51,0.145,0.324,0.762
06.10.2020,3360.95,93.69,0.147,0.315,0.74
07.10.2020,3419.45,93.63,0.157,0.345,0.785
08.10.2020,3446.83,93.61,0.147,0.326,0.767
09.10.2020,3477.13,93.06,0.153,0.336,0.775
12.10.2020,3534.22,93.07,0.153,0.336,0.775
13.10.2020,3511.93,93.53,0.141,0.302,0.727
14.10.2020,3488.67,93.38,0.139,0.302,0.722
15.10.2020,3483.34,93.86,0.141,0.314,0.734
16.10.2020,3483.81,93.68,0.145,0.318,0.744
19.10.2020,3426.92,93.43,0.147,0.33,0.762
20.10.2020,3443.12,93.07,0.147,0.343,0.797
21.10.2020,3435.56,92.61,0.149,0.351,0.816
22.10.2020,3453.49,92.95,0.155,0.375,0.848
23.10.2020,3465.39,92.77,0.155,0.37,0.841
26.10.2020,3400.97,93.05,0.149,0.349,0.803
27.10.2020,3390.68,92.94,0.149,0.333,0.778
28.10.2020,3271.03,93.41,0.15,0.333,0.781
29.10.2020,3310.11,93.96,0.152,0.373,0.836
30.10.2020,3269.96,94.04,0.152,0.381,0.859
02.11.2020,3310.24,94.13,0.158,0.375,0.848
03.11.2020,3369.16,93.55,0.168,0.391,0.881
04.11.2020,3443.44,93.41,0.145,0.323,0.768
05.11.2020,3510.45,92.53,0.151,0.335,0.778
06.11.2020,3509.44,92.23,0.155,0.363,0.82
09.11.2020,3550.5,92.73,0.183,0.447,0.958
10.11.2020,3545.53,92.75,0.185,0.46,0.972
11.11.2020,3572.66,93.04,0.185,0.46,0.972
12.11.2020,3537.01,92.96,0.177,0.396,0.886
13.11.2020,3585.15,92.76,0.179,0.403,0.893
16.11.2020,3626.91,92.64,0.179,0.408,0.906
17.11.2020,3609.53,92.42,0.175,0.386,0.872
18.11.2020,3567.79,92.32,0.175,0.398,0.882
19.11.2020,3581.87,92.29,0.169,0.386,0.855
20.11.2020,3557.54,92.39,0.163,0.376,0.829
23.11.2020,3577.59,92.51,0.165,0.388,0.859
24.11.2020,3635.41,92.23,0.164,0.397,0.882
25.11.2020,3629.65,91.99,0.16,0.389,0.878
26.11.2020,3629.65,91.99,0.16,0.389,0.878
27.11.2020,3638.35,91.79,0.154,0.369,0.842
30.11.2020,3621.63,91.87,0.147,0.361,0.842
01.12.2020,3662.45,91.31,0.174,0.427,0.934
02.12.2020,3669.01,91.12,0.164,0.421,0.946
03.12.2020,3666.72,90.71,0.155,0.405,0.921
04.12.2020,3699.12,90.7,0.153,0.423,0.969
07.12.2020,3691.96,90.79,0.143,0.389,0.928
08.12.2020,3702.25,90.97,0.151,0.388,0.913
09.12.2020,3672.82,91.09,0.153,0.408,0.941
10.12.2020,3668.1,90.82,0.139,0.383,0.908
11.12.2020,3663.46,90.98,0.121,0.361,0.891
14.12.2020,3647.49,90.71,0.117,0.357,0.891
15.12.2020,3694.62,90.47,0.123,0.375,0.921
16.12.2020,3701.17,90.45,0.119,0.37,0.92
17.12.2020,3722.48,89.82,0.127,0.377,0.93
18.12.2020,3709.41,90.02,0.123,0.381,0.948
21.12.2020,3694.92,90.04,0.123,0.381,0.941
22.12.2020,3687.26,90.65,0.119,0.365,0.918
23.12.2020,3690.01,90.41,0.121,0.377,0.955
24.12.2020,3703.06,90.32,0.121,0.365,0.93
25.12.2020,3703.06,90.32,0.121,0.365,0.93
28.12.2020,3735.36,90.34,0.125,0.364,0.933
29.12.2020,3727.04,89.99,0.127,0.377,0.935
