date;N10D;GPRD;GPRD_ACT;GPRD_THREAT
04.08.1985;439;60.37;45.13;62.74
05.08.1985;318;62.50;62.31;51.97
06.08.1985;284;116.64;93.02;135.79
07.08.1985;382;95.39;69.16;100.95
08.08.1985;394;42.04;50.29;41.95
09.08.1985;415;95.79;111.41;79.65
10.08.1985;308;64.53;85.78;35.77
11.08.1985;443;44.87;59.64;49.74
12.08.1985;357;120.63;129.50;108.02
13.08.1985;389;76.64;101.87;56.65
14.08.1985;426;101.09;108.53;77.59
15.08.1985;435;53.31;45.55;50.66
16.08.1985;447;59.29;59.10;49.30
17.08.1985;333;79.58;79.34;66.17
18.08.1985;455;72.80;87.10;72.65
19.08.1985;349;104.41;94.62;110.50
20.08.1985;397;83.44;116.46;55.51
21.08.1985;395;167.72;234.09;125.52
22.08.1985;429;108.10;76.98;115.57
23.08.1985;414;72.01;95.72;39.92
24.08.1985;312;63.70;63.51;52.97
25.08.1985;450;22.08;14.68;24.48
26.08.1985;377;70.29;70.08;58.45
27.08.1985;354;112.29;111.94;93.37
28.08.1985;426;77.76;77.52;77.59
29.08.1985;453;131.63;102.06;133.77
30.08.1985;407;65.11;32.46;81.21
31.08.1985;295;56.15;67.17;37.35
01.09.1985;418;63.40;31.60;79.08
02.09.1985;275;84.32;24.02;120.20
03.09.1985;351;84.94;150.54;15.70
04.09.1985;399;66.42;99.32;27.61
05.09.1985;443;59.82;74.55;37.31
06.09.1985;482;89.34;54.81;102.87
07.09.1985;346;114.89;133.62;79.61
08.09.1985;493;67.19;66.99;55.87
09.09.1985;351;84.94;94.08;78.48
10.09.1985;414;120.02;63.81;146.37
11.09.1985;436;151.95;90.89;176.89
12.09.1985;450;73.61;73.39;73.45
13.09.1985;481;103.30;82.39;114.53
14.09.1985;303;120.26;87.19;145.45
15.09.1985;463;78.70;85.59;59.49
16.09.1985;417;95.33;79.19;92.48
17.09.1985;451;124.86;161.09;109.94
18.09.1985;419;126.49;126.10;118.33
19.09.1985;471;126.59;140.23;105.27
20.09.1985;476;104.39;13.88;162.03
21.09.1985;318;52.08;83.08;17.32
22.09.1985;474;69.89;69.67;69.73
23.09.1985;402;115.36;131.44;95.93
24.09.1985;449;110.66;117.68;110.43
